GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
0500000US01001,1001,"Autauga County, Alabama",36757,117,324,108,0,27,0,27,19,21,0,27,37,29,24,42,3,8,186,117,170,111,326,133,917,224,801,186,1043,249,671,156,10226,770,2137,388,2572,331,5321,521,2804,362,5316,473,3058,457,426,216,376,179
0500000US01003,1003,"Baldwin County, Alabama",143022,201,1131,279,13,20,51,58,0,27,0,27,115,93,102,70,138,75,439,191,418,161,1266,307,2074,511,3331,552,2789,506,2130,354,32709,1507,7062,760,9207,891,22319,1210,13760,1123,29237,1509,10714,778,2885,486,1132,245
0500000US01005,1005,"Barbour County, Alabama",18434,72,342,106,13,20,17,23,7,15,30,34,117,66,52,41,56,36,178,67,229,98,531,110,744,154,1003,174,1005,166,636,146,5103,354,1446,153,1244,174,2110,257,1353,207,1403,184,656,148,90,37,69,38
0500000US01007,1007,"Bibb County, Alabama",15859,173,196,108,0,21,0,21,0,21,18,25,27,28,4,10,10,16,159,91,180,88,293,115,520,170,585,158,705,210,136,83,5581,556,1377,226,773,252,2367,323,831,223,1289,367,617,190,92,66,99,105
0500000US01009,1009,"Blount County, Alabama",39475,120,699,165,0,27,2,5,0,27,50,39,30,26,116,110,164,104,704,184,230,94,898,216,1118,240,1759,337,1303,276,907,193,10553,569,2187,285,3162,403,5469,448,4952,467,3416,421,1378,213,216,98,162,74
0500000US01011,1011,"Bullock County, Alabama",7377,176,75,60,0,18,0,18,0,18,0,18,13,19,0,18,28,36,5,10,118,80,92,72,139,78,321,145,671,210,651,202,2336,399,363,153,198,83,1059,239,318,148,485,178,334,125,115,79,56,60
0500000US01013,1013,"Butler County, Alabama",13958,24,285,117,0,21,0,21,10,19,3,4,62,71,31,38,24,29,119,53,114,62,256,89,387,113,350,121,615,180,389,122,4862,357,775,145,541,138,1783,214,1099,220,1342,242,667,113,132,57,112,53
0500000US01015,1015,"Calhoun County, Alabama",78975,120,942,197,19,30,13,21,0,27,21,31,99,45,134,91,185,92,502,185,735,186,1295,242,2122,356,3017,393,2729,418,1441,229,20453,1071,4987,495,5880,536,14458,745,5830,500,8092,639,4284,472,997,205,740,180
0500000US01017,1017,"Chambers County, Alabama",23698,144,437,153,0,24,0,24,43,49,0,24,71,61,41,36,74,76,154,84,188,78,428,171,812,207,1026,212,808,158,455,162,7346,476,1763,241,1374,216,3735,351,1785,288,2131,300,713,153,273,113,41,33
