FIPS,corn_bush,corn_usd,cotton_bales,cotton_usd
1001,34810,367000,15508,5204000
1003,592305,5227000,23233,8211000
1005,183932,828000,11712,4321000
1007,NA,NA,,
1009,115564,NA,5273,1820000
1011,42558,377000,,
1013,NA,1629000,,
1015,135919,191000,11670,4036000
1017,37980,NA,NA,NA
1019,400140,3088000,51986,16519000
1021,12669,300000,NA,NA
1023,2802,NA,NA,NA
1025,3903,NA,NA,NA
1027,NA,NA,,
1029,32075,340000,,
1031,271826,1162000,19316,6447000
1033,1867249,13024000,11677,4182000
1035,196495,629000,20143,6444000
1037,1410,NA,,
1039,530635,1224000,23266,7876000
1041,276013,672000,NA,NA
1043,347480,2976000,NA,NA
1045,217059,1007000,15692,5309000
1047,427577,7512000,24427,8654000
1049,1233885,8296000,3122,1080000
1051,364479,1745000,25928,7781000
1053,275726,1319000,35281,12390000
1055,132942,459000,4404,1431000
1057,153492,500000,11285,4059000
1059,404755,815000,6519,2011000
1061,409733,2200000,38516,12275000
1063,NA,2000,,
1065,7330,NA,,
1067,433701,3664000,32569,11039000
1069,287890,929000,28692,9583000
1071,2359556,12060000,6243,2103000
1073,3360,56000,,
1075,57970,NA,NA,NA
1077,1745961,9584000,37579,12403000
1079,2899578,16384000,36926,12910000
1081,9005,78000,1712,562000
1083,2299778,13917000,55726,18659000
1085,234107,777000,6465,1939000
1087,74015,NA,22373,6102000
1089,2459235,15843000,57446,18948000
1091,92338,936000,6498,2218000
1093,78666,NA,NA,NA
1095,256851,2345000,NA,NA
1097,NA,NA,14336,3847000
1099,213180,673000,30530,10568000
1101,287879,626000,8156,2415000
1103,393373,1550000,4402,1430000
1105,300792,3769000,6117,1716000
1107,NA,2137000,6331,2132000
1109,149557,1063000,7555,2408000
1111,75765,NA,NA,NA
1113,205520,650000,9391,2953000
1115,10159,NA,,
1117,91974,729000,9171,3101000
1119,47804,529000,2460,846000
1121,945777,2247000,8494,3500000
1123,47758,NA,NA,NA
1125,294885,950000,2997,940000
1127,59540,234000,NA,NA
1129,49607,NA,7919,2742000
1131,NA,309000,NA,NA
1133,5317,NA,,
4003,3826964,20803000,NA,2415000
4009,1305334,9590000,63457,28479000
4011,40282,NA,415,NA
4012,,NA,35023,NA
4013,142852,9346000,74642,25862000
4017,NA,350000,,
4019,,NA,33398,10576000
4021,541649,20474000,257903,92040000
4025,NA,61000,,
5001,6461833,31569000,,
5003,3448518,12648000,46146,14681000
5007,NA,429000,,
5009,,NA,,
5015,,23000,,
5017,9606403,15944000,47349,14610000
5019,NA,NA,NA,NA
5021,7090550,18252000,73065,22663000
5029,378246,1999000,,
5031,6021532,22747000,183628,59947000
5033,248096,780000,,
5035,1548604,8211000,44808,15739000
5037,1648209,9493000,NA,NA
5041,10426380,20853000,41522,NA
5043,3820887,6334000,22471,7501000
5045,62400,786000,,
5047,84885,NA,,
5049,NA,333000,,
5055,5225084,15834000,11920,4107000
5063,1385795,2857000,,
5065,NA,NA,,
5067,2261042,7124000,,
5069,8593489,28235000,13114,4388000
5071,140600,910000,,
5073,2513565,7433000,,
5075,1110114,4145000,,
5077,3920901,18712000,98879,29944000
5079,4807356,13459000,47071,15219000
5081,993456,5080000,NA,NA
5083,360500,NA,,
5085,5577210,24300000,11097,3999000
5087,,NA,,
5091,990628,4495000,NA,NA
