FIPS,state,county,state_code,state_name,county_code,Dem16,Rep16,Dem18,Rep18,Dist,Splitflag
9001,CT,fairfield county,9,Connecticut,1,242436,159862,213102,137098,3,1
9003,CT,hartford county,9,Connecticut,3,249132,131433,216538,118758,1,1
9005,CT,litchfield county,9,Connecticut,5,47550,45809,41280,42334,1,1
9007,CT,middlesex county,9,Connecticut,7,52948,31134,47044,29973,1,1
9009,CT,new haven county,9,Connecticut,9,240630,122020,197520,120797,2,1
9011,CT,new london county,9,Connecticut,11,81108,34946,70247,33542,2,0
9013,CT,tolland county,9,Connecticut,13,46644,25878,39434,21933,2,0
9015,CT,windham county,9,Connecticut,15,29691,17052,24176,16086,2,0
23001,ME,androscoggin county,23,Maine,1,26218,28988,22039,20502,2,0
23003,ME,aroostook county,23,Maine,3,14282,20373,10855,14127,2,0
23005,ME,cumberland county,23,Maine,5,106171,64662,97640,43004,1,0
23007,ME,franklin county,23,Maine,7,7651,8808,6864,6008,2,0
23009,ME,hancock county,23,Maine,9,16450,15663,15245,10709,2,0
23011,ME,kennebec county,23,Maine,11,32792,33145,27964,23470,1,1
23013,ME,knox county,23,Maine,13,14441,8794,12689,6578,1,0
23015,ME,lincoln county,23,Maine,15,11293,10226,10409,7506,1,0
23017,ME,oxford county,23,Maine,17,14788,16199,11334,11649,2,0
23019,ME,penobscot county,23,Maine,19,35388,45164,28892,31002,2,0
23021,ME,piscataquis county,23,Maine,21,3470,5711,2866,3995,2,0
23023,ME,sagadahoc county,23,Maine,23,11337,10427,10634,7301,1,0
23025,ME,somerset county,23,Maine,25,10176,15758,8206,10924,2,0
23027,ME,waldo county,23,Maine,27,11171,11437,10052,7986,2,0
23029,ME,washington county,23,Maine,29,6749,9487,5657,6447,2,0
23031,ME,york county,23,Maine,31,61301,51722,50588,33933,1,0
