County                                                                      Congressional District
Autauga                                                                                          2
Baldwin                                                                                          1
Barbour                                                                                          2
Bibb                                                                                             6
Blount                                                                                         4,6
Bullock                                                                                          2
Butler                                                                                           2
Calhoun                                                                                          3
Chambers                                                                                         3
Cherokee                                                                                       3,4
Chilton                                                                                          6
Choctaw                                                                                          7
Clarke                                                                                         1,7
Clay                                                                                             3
Cleburne                                                                                         3
Coffee                                                                                           2
Colbert                                                                                          4
Conecuh                                                                                          2
Coosa                                                                                            6
Covington                                                                                        2
Crenshaw                                                                                         2
Cullman                                                                                          4
Dale                                                                                             2
Dallas                                                                                           7
DeKalb                                                                                           4
Elmore                                                                                           2
Escambia                                                                                         1
Etowah                                                                                           4
Fayette                                                                                          4
Franklin                                                                                         4
Geneva                                                                                           2
Greene                                                                                           7
Hale                                                                                             7
Henry                                                                                            2
Houston                                                                                          2
Jackson                                                                                        4,5
Jefferson                                                                                      6,7
Lamar                                                                                            4
Lauderdale                                                                                       5
Lawrence                                                                                         4
Lee                                                                                              3
Limestone                                                                                        5
Lowndes                                                                                          7
Macon                                                                                            3
Madison                                                                                          5
Marengo                                                                                          7
Marion                                                                                           4
Marshall                                                                                         4
Mobile                                                                                           1
Monroe                                                                                           1
Montgomery                                                                                   2,3,7
Morgan                                                                                           5
Perry                                                                                            7
Pickens                                                                                          7
Pike                                                                                             2
Randolph                                                                                         3
Russell                                                                                          3
Shelby                                                                                           6
St. Clair                                                                                        3
Sumter                                                                                           7
Talladega                                                                                        3
Tallapoosa                                                                                       3
Tuscaloosa                                                                                     4,7
Walker                                                                                           4
Washington                                                                                       1
Wilcox                                                                                           7
Winston                                                                                          4
