County                                                                      Congressional District
Adams                                                                                        4,6,7
Alamosa                                                                                          3
Arapahoe                                                                                     1,4,6
Archuleta                                                                                        3
Baca                                                                                             4
Bent                                                                                             4
Boulder                                                                                        2,4
Broomfield                                                                                       2
Chaffee                                                                                          5
Cheyenne                                                                                         4
Clear Creek                                                                                      2
Conejos                                                                                          3
Costilla                                                                                         3
Crowley                                                                                          4
Custer                                                                                           3
Delta                                                                                            3
Denver                                                                                           1
Dolores                                                                                          3
Douglas                                                                                        4,6
Eagle                                                                                          2,3
El Paso                                                                                          5
Elbert                                                                                           4
Fremont                                                                                          5
Garfield                                                                                         3
Gilpin                                                                                           2
Grand                                                                                            2
Gunnison                                                                                         3
Hinsdale                                                                                         3
Huerfano                                                                                         3
Jackson                                                                                          3
Jefferson                                                                                    1,2,7
Kiowa                                                                                            4
Kit Carson                                                                                       4
La Plata                                                                                         3
Lake                                                                                             3
Larimer                                                                                          2
Las Animas                                                                                       4
Lincoln                                                                                          4
Logan                                                                                            4
Mesa                                                                                             3
Mineral                                                                                          3
Moffat                                                                                           3
Montezuma                                                                                        3
Montrose                                                                                         3
Morgan                                                                                           4
Otero                                                                                            4
Ouray                                                                                            3
Park                                                                                           2,5
Phillips                                                                                         4
Pitkin                                                                                           3
Prowers                                                                                          4
Pueblo                                                                                           3
Rio Blanco                                                                                       3
Rio Grande                                                                                       3
Routt                                                                                            3
Saguache                                                                                         3
San Juan                                                                                         3
San Miguel                                                                                       3
Sedgwick                                                                                         4
Summit                                                                                           2
Teller                                                                                           5
Washington                                                                                       4
Weld                                                                                           2,4
Yuma                                                                                             4
