County                                                                      Congressional District
Appling                                                                                         12
Atkinson                                                                                         8
Bacon                                                                                            1
Baker                                                                                            2
Baldwin                                                                                         10
Banks                                                                                            9
Barrow                                                                                          10
Bartow                                                                                          11
Ben Hill                                                                                         8
Berrien                                                                                          8
Bibb                                                                                           2,8
Bleckley                                                                                         8
Brantley                                                                                         1
Brooks                                                                                           8
Bryan                                                                                            1
Bulloch                                                                                         12
Burke                                                                                           12
Butts                                                                                           10
Calhoun                                                                                          2
Camden                                                                                           1
Candler                                                                                         12
Carroll                                                                                          3
Catoosa                                                                                         14
Charlton                                                                                         1
Chatham                                                                                          1
Chattahoochee                                                                                    2
Chattooga                                                                                       14
Cherokee                                                                                        11
Clarke                                                                                        9,10
Clay                                                                                             2
Clayton                                                                                       5,13
Clinch                                                                                           1
Cobb                                                                                       6,11,13
Coffee                                                                                          12
Colquitt                                                                                         8
Columbia                                                                                     10,12
Cook                                                                                             8
Coweta                                                                                           3
Crawford                                                                                         2
Crisp                                                                                            2
Dade                                                                                            14
Dawson                                                                                           9
DeKalb                                                                                         4-6
Decatur                                                                                          2
Dodge                                                                                            8
Dooly                                                                                            2
Dougherty                                                                                        2
Douglas                                                                                         13
Early                                                                                            2
Echols                                                                                           1
Effingham                                                                                     1,12
Elbert                                                                                           9
Emanuel                                                                                         12
Evans                                                                                           12
Fannin                                                                                           9
Fayette                                                                                       3,13
Floyd                                                                                           14
Forsyth                                                                                        7,9
Franklin                                                                                         9
Fulton                                                                                   5,6,11,13
Gilmer                                                                                           9
Glascock                                                                                        10
Glynn                                                                                            1
Gordon                                                                                          14
Grady                                                                                            2
Greene                                                                                          10
Gwinnett                                                                                    4,7,10
Habersham                                                                                        9
Hall                                                                                             9
Hancock                                                                                         10
Haralson                                                                                        14
Harris                                                                                           3
Hart                                                                                             9
Heard                                                                                            3
Henry                                                                                      3,10,13
Houston                                                                                          8
Irwin                                                                                            8
Jackson                                                                                          9
Jasper                                                                                          10
Jeff Davis                                                                                      12
Jefferson                                                                                       10
Jenkins                                                                                         12
Johnson                                                                                         10
Jones                                                                                            8
Lamar                                                                                            3
Lanier                                                                                           8
Laurens                                                                                         12
Lee                                                                                              2
Liberty                                                                                          1
Lincoln                                                                                         10
Long                                                                                             1
Lowndes                                                                                        1,8
Lumpkin                                                                                          9
Macon                                                                                            2
Madison                                                                                          9
Marion                                                                                           2
McDuffie                                                                                        10
McIntosh                                                                                         1
Meriwether                                                                                       3
Miller                                                                                           2
Mitchell                                                                                         2
Monroe                                                                                           8
Montgomery                                                                                      12
Morgan                                                                                          10
Murray                                                                                          14
Muscogee                                                                                       2,3
Newton                                                                                        4,10
Oconee                                                                                          10
Oglethorpe                                                                                      10
Paulding                                                                                        14
Peach                                                                                            2
Pickens                                                                                       9,14
Pierce                                                                                           1
Pike                                                                                             3
Polk                                                                                            14
Pulaski                                                                                          8
Putnam                                                                                          10
Quitman                                                                                          2
Rabun                                                                                            9
Randolph                                                                                         2
Richmond                                                                                        12
Rockdale                                                                                         4
Schley                                                                                           2
Screven                                                                                         12
Seminole                                                                                         2
Spalding                                                                                         3
Stephens                                                                                         9
Stewart                                                                                          2
Sumter                                                                                           2
Talbot                                                                                           2
Taliaferro                                                                                      10
Tattnall                                                                                        12
Taylor                                                                                           2
Telfair                                                                                          8
Terrell                                                                                          2
Thomas                                                                                           8
Tift                                                                                             8
Toombs                                                                                          12
Towns                                                                                            9
Treutlen                                                                                        12
Troup                                                                                            3
Turner                                                                                           8
Twiggs                                                                                           8
Union                                                                                            9
Upson                                                                                            3
Walker                                                                                          14
Walton                                                                                          10
Ware                                                                                             1
Warren                                                                                          10
Washington                                                                                      10
Wayne                                                                                            1
Webster                                                                                          2
Wheeler                                                                                         12
White                                                                                            9
Whitfield                                                                                       14
Wilcox                                                                                           8
Wilkes                                                                                          10
Wilkinson                                                                                        8
Worth                                                                                            8
