County                                                                      Congressional District
Adams                                                                                            3
Allen                                                                                            3
Bartholomew                                                                                      6
Benton                                                                                           4
Blackford                                                                                      3,5
Boone                                                                                          4,5
Brown                                                                                            9
Carroll                                                                                          4
Cass                                                                                             4
Clark                                                                                            9
Clay                                                                                             8
Clinton                                                                                          4
Crawford                                                                                       8,9
Daviess                                                                                          8
DeKalb                                                                                           3
Dearborn                                                                                         6
Decatur                                                                                          6
Delaware                                                                                         6
Dubois                                                                                           8
Elkhart                                                                                          2
Fayette                                                                                          6
Floyd                                                                                            9
Fountain                                                                                         4
Franklin                                                                                         6
Fulton                                                                                           2
Gibson                                                                                           8
Grant                                                                                            5
Greene                                                                                           8
Hamilton                                                                                         5
Hancock                                                                                          6
Harrison                                                                                         9
Hendricks                                                                                        4
Henry                                                                                            6
Howard                                                                                         4,5
Huntington                                                                                       3
Jackson                                                                                          9
Jasper                                                                                           4
Jay                                                                                              3
Jefferson                                                                                        6
Jennings                                                                                         6
Johnson                                                                                          9
Knox                                                                                             8
Kosciusko                                                                                      2,3
LaGrange                                                                                         3
LaPorte                                                                                        1,2
Lake                                                                                             1
Lawrence                                                                                         9
Madison                                                                                          5
Marion                                                                                         5,7
Marshall                                                                                         2
Martin                                                                                           8
Miami                                                                                            2
Monroe                                                                                           9
Montgomery                                                                                       4
Morgan                                                                                         4,9
Newton                                                                                           4
Noble                                                                                            3
Ohio                                                                                             6
Orange                                                                                           9
Owen                                                                                             8
Parke                                                                                            8
Perry                                                                                            8
Pike                                                                                             8
Porter                                                                                           1
Posey                                                                                            8
Pulaski                                                                                          2
Putnam                                                                                           4
Randolph                                                                                         6
Ripley                                                                                           6
Rush                                                                                             6
Scott                                                                                          6,9
Shelby                                                                                           6
Spencer                                                                                          8
St. Joseph                                                                                       2
Starke                                                                                           2
Steuben                                                                                          3
Sullivan                                                                                         8
Switzerland                                                                                      6
Tippecanoe                                                                                       4
Tipton                                                                                           5
Union                                                                                            6
Vanderburgh                                                                                      8
Vermillion                                                                                       8
Vigo                                                                                             8
Wabash                                                                                           2
Warren                                                                                           4
Warrick                                                                                          8
Washington                                                                                       9
Wayne                                                                                            6
Wells                                                                                            3
White                                                                                            4
Whitley                                                                                          3
