County                                                                      Congressional District
Adair                                                                                            3
Adams                                                                                            3
Allamakee                                                                                        1
Appanoose                                                                                        2
Audubon                                                                                          4
Benton                                                                                           1
Black Hawk                                                                                       1
Boone                                                                                            4
Bremer                                                                                           1
Buchanan                                                                                         1
Buena Vista                                                                                      4
Butler                                                                                           4
Calhoun                                                                                          4
Carroll                                                                                          4
Cass                                                                                             3
Cedar                                                                                            2
Cerro Gordo                                                                                      4
Cherokee                                                                                         4
Chickasaw                                                                                        4
Clarke                                                                                           2
Clay                                                                                             4
Clayton                                                                                          1
Clinton                                                                                          2
Crawford                                                                                         4
Dallas                                                                                           3
Davis                                                                                            2
Decatur                                                                                          2
Delaware                                                                                         1
Des Moines                                                                                       2
Dickinson                                                                                        4
Dubuque                                                                                          1
Emmet                                                                                            4
Fayette                                                                                          1
Floyd                                                                                            4
Franklin                                                                                         4
Fremont                                                                                          3
Greene                                                                                           4
Grundy                                                                                           4
Guthrie                                                                                          3
Hamilton                                                                                         4
Hancock                                                                                          4
Hardin                                                                                           4
Harrison                                                                                         4
Henry                                                                                            2
Howard                                                                                           1
Humboldt                                                                                         4
Ida                                                                                              4
Iowa                                                                                             1
Jackson                                                                                          1
Jasper                                                                                           2
Jefferson                                                                                        2
Johnson                                                                                          2
Jones                                                                                            1
Keokuk                                                                                           2
Kossuth                                                                                          4
Lee                                                                                              2
Linn                                                                                             1
Louisa                                                                                           2
Lucas                                                                                            2
Lyon                                                                                             4
Madison                                                                                          3
Mahaska                                                                                          2
Marion                                                                                           2
Marshall                                                                                         1
Mills                                                                                            3
Mitchell                                                                                         1
Monona                                                                                           4
Monroe                                                                                           2
Montgomery                                                                                       3
Muscatine                                                                                        2
O'Brien                                                                                          4
Osceola                                                                                          4
Page                                                                                             3
Palo Alto                                                                                        4
Plymouth                                                                                         4
Pocahontas                                                                                       4
Polk                                                                                             3
Pottawattamie                                                                                    3
Poweshiek                                                                                        1
Ringgold                                                                                         3
Sac                                                                                              4
Scott                                                                                            2
Shelby                                                                                           4
Sioux                                                                                            4
Story                                                                                            4
Tama                                                                                             1
Taylor                                                                                           3
Union                                                                                            3
Van Buren                                                                                        2
Wapello                                                                                          2
Warren                                                                                           3
Washington                                                                                       2
Wayne                                                                                            2
Webster                                                                                          4
Winnebago                                                                                        4
Winneshiek                                                                                       1
Woodbury                                                                                         4
Worth                                                                                            1
Wright                                                                                           4
