County                                                                      Congressional District
Allen                                                                                            2
Anderson                                                                                         2
Atchison                                                                                         2
Barber                                                                                           4
Barton                                                                                           1
Bourbon                                                                                          2
Brown                                                                                            2
Butler                                                                                           4
Chase                                                                                            1
Chautauqua                                                                                       4
Cherokee                                                                                         2
Cheyenne                                                                                         1
Clark                                                                                            1
Clay                                                                                             1
Cloud                                                                                            1
Coffey                                                                                           2
Comanche                                                                                         4
Cowley                                                                                           4
Crawford                                                                                         2
Decatur                                                                                          1
Dickinson                                                                                        1
Doniphan                                                                                         2
Douglas                                                                                          2
Edwards                                                                                          4
Elk                                                                                              4
Ellis                                                                                            1
Ellsworth                                                                                        1
Finney                                                                                           1
Ford                                                                                             1
Franklin                                                                                         2
Geary                                                                                            1
Gove                                                                                             1
Graham                                                                                           1
Grant                                                                                            1
Gray                                                                                             1
Greeley                                                                                          1
Greenwood                                                                                        4
Hamilton                                                                                         1
Harper                                                                                           4
Harvey                                                                                           4
Haskell                                                                                          1
Hodgeman                                                                                         1
Jackson                                                                                          2
Jefferson                                                                                        2
Jewell                                                                                           1
Johnson                                                                                          3
Kearny                                                                                           1
Kingman                                                                                          4
Kiowa                                                                                            4
Labette                                                                                          2
Lane                                                                                             1
Leavenworth                                                                                      2
Lincoln                                                                                          1
Linn                                                                                             2
Logan                                                                                            1
Lyon                                                                                             1
Marion                                                                                           1
Marshall                                                                                       1,2
McPherson                                                                                        1
Meade                                                                                            1
Miami                                                                                          2,3
Mitchell                                                                                         1
Montgomery                                                                                       2
Morris                                                                                           1
Morton                                                                                           1
Nemaha                                                                                           2
Neosho                                                                                           2
Ness                                                                                             1
Norton                                                                                           1
Osage                                                                                            2
Osborne                                                                                          1
Ottawa                                                                                           1
Pawnee                                                                                         1,4
Phillips                                                                                         1
Pottawatomie                                                                                     1
Pratt                                                                                            4
Rawlins                                                                                          1
Reno                                                                                             1
Republic                                                                                         1
Rice                                                                                             1
Riley                                                                                            1
Rooks                                                                                            1
Rush                                                                                             1
Russell                                                                                          1
Saline                                                                                           1
Scott                                                                                            1
Sedgwick                                                                                         4
Seward                                                                                           1
Shawnee                                                                                          2
Sheridan                                                                                         1
Sherman                                                                                          1
Smith                                                                                            1
Stafford                                                                                         4
Stanton                                                                                          1
Stevens                                                                                          1
Sumner                                                                                           4
Thomas                                                                                           1
Trego                                                                                            1
Wabaunsee                                                                                        1
Wallace                                                                                          1
Washington                                                                                       1
Wichita                                                                                          1
Wilson                                                                                           2
Woodson                                                                                          2
Wyandotte                                                                                        3
