County                                                                      Congressional District
Adair                                                                                            1
Allen                                                                                            1
Anderson                                                                                         6
Ballard                                                                                          1
Barren                                                                                           2
Bath                                                                                             6
Bell                                                                                             5
Boone                                                                                            4
Bourbon                                                                                          6
Boyd                                                                                           4,5
Boyle                                                                                            2
Bracken                                                                                          4
Breathitt                                                                                        5
Breckinridge                                                                                     2
Bullitt                                                                                          2
Butler                                                                                           2
Caldwell                                                                                         1
Calloway                                                                                         1
Campbell                                                                                         4
Carlisle                                                                                         1
Carroll                                                                                          4
Carter                                                                                           5
Casey                                                                                            1
Christian                                                                                        1
Clark                                                                                            6
Clay                                                                                             5
Clinton                                                                                          1
Crittenden                                                                                       1
Cumberland                                                                                       1
Daviess                                                                                          2
Edmonson                                                                                         2
Elliott                                                                                          5
Estill                                                                                           6
Fayette                                                                                          6
Fleming                                                                                          6
Floyd                                                                                            5
Franklin                                                                                         6
Fulton                                                                                           1
Gallatin                                                                                         4
Garrard                                                                                          2
Grant                                                                                            4
Graves                                                                                           1
Grayson                                                                                          2
Green                                                                                            2
Greenup                                                                                          4
Hancock                                                                                          2
Hardin                                                                                           2
Harlan                                                                                           5
Harrison                                                                                       4,6
Hart                                                                                             2
Henderson                                                                                        1
Henry                                                                                            4
Hickman                                                                                          1
Hopkins                                                                                          1
Jackson                                                                                          5
Jefferson                                                                                      3,4
Jessamine                                                                                      2,6
Johnson                                                                                          5
Kenton                                                                                           4
Knott                                                                                            5
Knox                                                                                             5
Larue                                                                                            2
Laurel                                                                                           5
Lawrence                                                                                         5
Lee                                                                                              5
Leslie                                                                                           5
Letcher                                                                                          5
Lewis                                                                                            4
Lincoln                                                                                          5
Livingston                                                                                       1
Logan                                                                                            1
Lyon                                                                                             1
Madison                                                                                          6
Magoffin                                                                                         5
Marion                                                                                           1
Marshall                                                                                         1
Martin                                                                                           5
Mason                                                                                            4
McCracken                                                                                        1
McCreary                                                                                         5
McLean                                                                                           1
Meade                                                                                            2
Menifee                                                                                          6
Mercer                                                                                           2
Metcalfe                                                                                         1
Monroe                                                                                           1
Montgomery                                                                                       6
Morgan                                                                                           5
Muhlenberg                                                                                       1
Nelson                                                                                           2
Nicholas                                                                                         6
Ohio                                                                                             1
Oldham                                                                                           4
Owen                                                                                             4
Owsley                                                                                           5
Pendleton                                                                                        4
Perry                                                                                            5
Pike                                                                                             5
Powell                                                                                           6
Pulaski                                                                                          5
Robertson                                                                                        6
Rockcastle                                                                                       5
Rowan                                                                                            5
Russell                                                                                          1
Scott                                                                                            6
Shelby                                                                                           4
Simpson                                                                                          1
Spencer                                                                                        2,4
Taylor                                                                                           1
Todd                                                                                             1
Trigg                                                                                            1
Trimble                                                                                          4
Union                                                                                            1
Warren                                                                                           2
Washington                                                                                     1,2
Wayne                                                                                            5
Webster                                                                                          1
Whitley                                                                                          5
Wolfe                                                                                            6
Woodford                                                                                         6
