County                                                   Congressional District
Allegany                                                                                         6
Anne Arundel                                                                                   2-5
Baltimore                                                                                    1-3,7
Baltimore city                                                                               2,3,7
Calvert                                                                                          5
Caroline                                                                                         1
Carroll                                                                                        1,8
Cecil                                                                                            1
Charles                                                                                          5
Dorchester                                                                                       1
Frederick                                                                                      6,8
Garrett                                                                                          6
Harford                                                                                        1,2
Howard                                                                                       2,3,7
Kent                                                                                             1
Montgomery                                                                                   3,6,8
Prince George's                                                                                4,5
Queen Anne's                                                                                     1
Somerset                                                                                         1
St. Mary's                                                                                       5
Talbot                                                                                           1
Washington                                                                                       6
Wicomico                                                                                         1
Worcester                                                                                        1
