County                                                                      Congressional District
Alcona                                                                                           1
Alger                                                                                            1
Allegan                                                                                        2,6
Alpena                                                                                           1
Antrim                                                                                           1
Arenac                                                                                           5
Baraga                                                                                           1
Barry                                                                                            3
Bay                                                                                              5
Benzie                                                                                           1
Berrien                                                                                          6
Branch                                                                                           7
Calhoun                                                                                          3
Cass                                                                                             6
Charlevoix                                                                                       1
Cheboygan                                                                                        1
Chippewa                                                                                         1
Clare                                                                                            4
Clinton                                                                                          4
Crawford                                                                                         1
Delta                                                                                            1
Dickinson                                                                                        1
Eaton                                                                                            7
Emmet                                                                                            1
Genesee                                                                                          5
Gladwin                                                                                          4
Gogebic                                                                                          1
Grand Traverse                                                                                   1
Gratiot                                                                                          4
Hillsdale                                                                                        7
Houghton                                                                                         1
Huron                                                                                           10
Ingham                                                                                           8
Ionia                                                                                            3
Iosco                                                                                            5
Iron                                                                                             1
Isabella                                                                                         4
Jackson                                                                                          7
Kalamazoo                                                                                        6
Kalkaska                                                                                         1
Kent                                                                                           2,3
Keweenaw                                                                                         1
Lake                                                                                             2
Lapeer                                                                                          10
Leelanau                                                                                         1
Lenawee                                                                                          7
Livingston                                                                                       8
Luce                                                                                             1
Mackinac                                                                                         1
Macomb                                                                                        9,10
Manistee                                                                                         1
Marquette                                                                                        1
Mason                                                                                          1,2
Mecosta                                                                                          4
Menominee                                                                                        1
Midland                                                                                          4
Missaukee                                                                                        4
Monroe                                                                                           7
Montcalm                                                                                       3,4
Montmorency                                                                                      1
Muskegon                                                                                         2
Newaygo                                                                                          2
Oakland                                                                                  8,9,11,14
Oceana                                                                                           2
Ogemaw                                                                                           4
Ontonagon                                                                                        1
Osceola                                                                                          4
Oscoda                                                                                           1
Otsego                                                                                           1
Ottawa                                                                                           2
Presque Isle                                                                                     1
Roscommon                                                                                        4
Saginaw                                                                                        4,5
Sanilac                                                                                         10
Schoolcraft                                                                                      1
Shiawassee                                                                                       4
St. Clair                                                                                       10
St. Joseph                                                                                       6
Tuscola                                                                                       5,10
Van Buren                                                                                        6
Washtenaw                                                                                     7,12
Wayne                                                                                        11-14
Wexford                                                                                          4
