County                                                                      Congressional District
Adams                                                                                            3
Alcorn                                                                                           1
Amite                                                                                            3
Attala                                                                                           2
Benton                                                                                           1
Bolivar                                                                                          2
Calhoun                                                                                          1
Carroll                                                                                          2
Chickasaw                                                                                        1
Choctaw                                                                                          1
Claiborne                                                                                        2
Clarke                                                                                         3,4
Clay                                                                                             1
Coahoma                                                                                          2
Copiah                                                                                           2
Covington                                                                                        3
DeSoto                                                                                           1
Forrest                                                                                          4
Franklin                                                                                         3
George                                                                                           4
Greene                                                                                           4
Grenada                                                                                          2
Hancock                                                                                          4
Harrison                                                                                         4
Hinds                                                                                          2,3
Holmes                                                                                           2
Humphreys                                                                                        2
Issaquena                                                                                        2
Itawamba                                                                                         1
Jackson                                                                                          4
Jasper                                                                                           3
Jefferson                                                                                        2
Jefferson Davis                                                                                  3
Jones                                                                                            4
Kemper                                                                                           3
Lafayette                                                                                        1
Lamar                                                                                            4
Lauderdale                                                                                       3
Lawrence                                                                                         3
Leake                                                                                            2
Lee                                                                                              1
Leflore                                                                                          2
Lincoln                                                                                          3
Lowndes                                                                                          1
Madison                                                                                        2,3
Marion                                                                                           4
Marshall                                                                                         1
Monroe                                                                                           1
Montgomery                                                                                       2
Neshoba                                                                                          3
Newton                                                                                           3
Noxubee                                                                                          3
Oktibbeha                                                                                      1,3
Panola                                                                                           2
Pearl River                                                                                      4
Perry                                                                                            4
Pike                                                                                             3
Pontotoc                                                                                         1
Prentiss                                                                                         1
Quitman                                                                                          2
Rankin                                                                                           3
Scott                                                                                            3
Sharkey                                                                                          2
Simpson                                                                                          3
Smith                                                                                            3
Stone                                                                                            4
Sunflower                                                                                        2
Tallahatchie                                                                                     2
Tate                                                                                             1
Tippah                                                                                           1
Tishomingo                                                                                       1
Tunica                                                                                           2
Union                                                                                            1
Walthall                                                                                         3
Warren                                                                                           2
Washington                                                                                       2
Wayne                                                                                            4
Webster                                                                                          1
Wilkinson                                                                                        3
Winston                                                                                          1
Yalobusha                                                                                        2
Yazoo                                                                                            2
