County/Independent City                                                     Congressional District
Adair                                                                                            6
Andrew                                                                                           6
Atchison                                                                                         6
Audrain                                                                                        4,6
Barry                                                                                            7
Barton                                                                                           4
Bates                                                                                            4
Benton                                                                                           4
Bollinger                                                                                        8
Boone                                                                                            4
Buchanan                                                                                         6
Butler                                                                                           8
Caldwell                                                                                         6
Callaway                                                                                         3
Camden                                                                                         3,4
Cape Girardeau                                                                                   8
Carroll                                                                                          6
Carter                                                                                           8
Cass                                                                                             4
Cedar                                                                                            4
Chariton                                                                                         6
Christian                                                                                        7
Clark                                                                                            6
Clay                                                                                           5,6
Clinton                                                                                          6
Cole                                                                                             3
Cooper                                                                                           4
Crawford                                                                                         8
Dade                                                                                             4
Dallas                                                                                           4
Daviess                                                                                          6
DeKalb                                                                                           6
Dent                                                                                             8
Douglas                                                                                          8
Dunklin                                                                                          8
Franklin                                                                                         3
Gasconade                                                                                        3
Gentry                                                                                           6
Greene                                                                                           7
Grundy                                                                                           6
Harrison                                                                                         6
Henry                                                                                            4
Hickory                                                                                          4
Holt                                                                                             6
Howard                                                                                           4
Howell                                                                                           8
Iron                                                                                             8
Jackson                                                                                        5,6
Jasper                                                                                           7
Jefferson                                                                                    2,3,8
Johnson                                                                                          4
Knox                                                                                             6
Laclede                                                                                          4
Lafayette                                                                                        5
Lawrence                                                                                         7
Lewis                                                                                            6
Lincoln                                                                                          3
Linn                                                                                             6
Livingston                                                                                       6
Macon                                                                                            6
Madison                                                                                          8
Maries                                                                                           3
Marion                                                                                           6
McDonald                                                                                         7
Mercer                                                                                           6
Miller                                                                                           3
Mississippi                                                                                      8
Moniteau                                                                                         4
Monroe                                                                                           6
Montgomery                                                                                       3
Morgan                                                                                           4
New Madrid                                                                                       8
Newton                                                                                           7
Nodaway                                                                                          6
Oregon                                                                                           8
Osage                                                                                            3
Ozark                                                                                            8
Pemiscot                                                                                         8
Perry                                                                                            8
Pettis                                                                                           4
Phelps                                                                                           8
Pike                                                                                             6
Platte                                                                                           6
Polk                                                                                             7
Pulaski                                                                                          4
Putnam                                                                                           6
Ralls                                                                                            6
Randolph                                                                                         4
Ray                                                                                              5
Reynolds                                                                                         8
Ripley                                                                                           8
Saline                                                                                           5
Schuyler                                                                                         6
Scotland                                                                                         6
Scott                                                                                            8
Shannon                                                                                          8
Shelby                                                                                           6
St. Charles                                                                                    2,3
St. Clair                                                                                        4
St. Francois                                                                                     8
St. Louis                                                                                      1,2
St. Louis city                                                                                   1
Ste. Genevieve                                                                                   8
Stoddard                                                                                         8
Stone                                                                                            7
Sullivan                                                                                         6
Taney                                                                                            7
Texas                                                                                            8
Vernon                                                                                           4
Warren                                                                                           3
Washington                                                                                       8
Wayne                                                                                            8
Webster                                                                                        4,7
Worth                                                                                            6
Wright                                                                                           8
