County                                                                      Congressional District
Adams                                                                                            3
Antelope                                                                                         3
Arthur                                                                                           3
Banner                                                                                           3
Blaine                                                                                           3
Boone                                                                                            3
Box Butte                                                                                        3
Boyd                                                                                             3
Brown                                                                                            3
Buffalo                                                                                          3
Burt                                                                                             1
Butler                                                                                           1
Cass                                                                                             1
Cedar                                                                                            3
Chase                                                                                            3
Cherry                                                                                           3
Cheyenne                                                                                         3
Clay                                                                                             3
Colfax                                                                                           1
Cuming                                                                                           1
Custer                                                                                           3
Dakota                                                                                           3
Dawes                                                                                            3
Dawson                                                                                           3
Deuel                                                                                            3
Dixon                                                                                          1,3
Dodge                                                                                            1
Douglas                                                                                          2
Dundy                                                                                            3
Fillmore                                                                                         3
Franklin                                                                                         3
Frontier                                                                                         3
Furnas                                                                                           3
Gage                                                                                             3
Garden                                                                                           3
Garfield                                                                                         3
Gosper                                                                                           3
Grant                                                                                            3
Greeley                                                                                          3
Hall                                                                                             3
Hamilton                                                                                         3
Harlan                                                                                           3
Hayes                                                                                            3
Hitchcock                                                                                        3
Holt                                                                                             3
Hooker                                                                                           3
Howard                                                                                           3
Jefferson                                                                                        3
Johnson                                                                                          3
Kearney                                                                                          3
Keith                                                                                            3
Keya Paha                                                                                        3
Kimball                                                                                          3
Knox                                                                                             3
Lancaster                                                                                        1
Lincoln                                                                                          3
Logan                                                                                            3
Loup                                                                                             3
Madison                                                                                          1
McPherson                                                                                        3
Merrick                                                                                        1,3
Morrill                                                                                          3
Nance                                                                                            3
Nemaha                                                                                           3
Nuckolls                                                                                         3
Otoe                                                                                             1
Pawnee                                                                                           3
Perkins                                                                                          3
Phelps                                                                                           3
Pierce                                                                                           3
Platte                                                                                           1
Polk                                                                                             1
Red Willow                                                                                       3
Richardson                                                                                       3
Rock                                                                                             3
Saline                                                                                           3
Sarpy                                                                                          1,2
Saunders                                                                                         1
Scotts Bluff                                                                                     3
Seward                                                                                           1
Sheridan                                                                                         3
Sherman                                                                                          3
Sioux                                                                                            3
Stanton                                                                                          1
Thayer                                                                                           3
Thomas                                                                                           3
Thurston                                                                                         1
Valley                                                                                           3
Washington                                                                                       1
Wayne                                                                                            3
Webster                                                                                          3
Wheeler                                                                                          3
York                                                                                             3
