County                                                                      Congressional District
Alamance                                                                                         6
Alexander                                                                                        5
Alleghany                                                                                        5
Anson                                                                                            9
Ashe                                                                                             5
Avery                                                                                            5
Beaufort                                                                                         3
Bertie                                                                                           1
Bladen                                                                                         7,9
Brunswick                                                                                        7
Buncombe                                                                                     10,11
Burke                                                                                           11
Cabarrus                                                                                         8
Caldwell                                                                                        11
Camden                                                                                           3
Carteret                                                                                         3
Caswell                                                                                          6
Catawba                                                                                       5,10
Chatham                                                                                          6
Cherokee                                                                                        11
Chowan                                                                                           3
Clay                                                                                            11
Cleveland                                                                                       10
Columbus                                                                                         7
Craven                                                                                           3
Cumberland                                                                                     8,9
Currituck                                                                                        3
Dare                                                                                             3
Davidson                                                                                        13
Davie                                                                                           13
Duplin                                                                                           7
Durham                                                                                         1,4
Edgecombe                                                                                        1
Forsyth                                                                                          5
Franklin                                                                                         2
Gaston                                                                                          10
Gates                                                                                            1
Graham                                                                                          11
Granville                                                                                        1
Greene                                                                                           3
Guilford                                                                                      6,13
Halifax                                                                                          1
Harnett                                                                                          2
Haywood                                                                                         11
Henderson                                                                                       11
Hertford                                                                                         1
Hoke                                                                                             8
Hyde                                                                                             3
Iredell                                                                                      10,13
Jackson                                                                                         11
Johnston                                                                                       2,7
Jones                                                                                            3
Lee                                                                                              6
Lenoir                                                                                           3
Lincoln                                                                                         10
Macon                                                                                           11
Madison                                                                                         11
Martin                                                                                           1
McDowell                                                                                        11
Mecklenburg                                                                                   9,12
Mitchell                                                                                        11
Montgomery                                                                                       8
Moore                                                                                            8
Nash                                                                                             2
New Hanover                                                                                      7
Northampton                                                                                      1
Onslow                                                                                           3
Orange                                                                                           4
Pamlico                                                                                          3
Pasquotank                                                                                       3
Pender                                                                                           7
Perquimans                                                                                       3
Person                                                                                           6
Pitt                                                                                           1,3
Polk                                                                                            10
Randolph                                                                                         6
Richmond                                                                                         9
Robeson                                                                                          9
Rockingham                                                                                       6
Rowan                                                                                         8,13
Rutherford                                                                                      10
Sampson                                                                                          7
Scotland                                                                                         9
Stanly                                                                                           8
Stokes                                                                                           5
Surry                                                                                            5
Swain                                                                                           11
Transylvania                                                                                    11
Tyrrell                                                                                          3
Union                                                                                            9
Vance                                                                                            1
Wake                                                                                           2,4
Warren                                                                                           1
Washington                                                                                       1
Watauga                                                                                          5
Wayne                                                                                            7
Wilkes                                                                                           5
Wilson                                                                                         1,2
Yadkin                                                                                           5
Yancey                                                                                          11
