County                                                                      Congressional District
Adams                                                                                            2
Allen                                                                                            4
Ashland                                                                                          7
Ashtabula                                                                                       14
Athens                                                                                        6,15
Auglaize                                                                                         4
Belmont                                                                                          6
Brown                                                                                            2
Butler                                                                                           8
Carroll                                                                                          6
Champaign                                                                                        4
Clark                                                                                            8
Clermont                                                                                         2
Clinton                                                                                         15
Columbiana                                                                                       6
Coshocton                                                                                        7
Crawford                                                                                         4
Cuyahoga                                                                                9,11,14,16
Darke                                                                                            8
Defiance                                                                                         5
Delaware                                                                                        12
Erie                                                                                           4,9
Fairfield                                                                                       15
Fayette                                                                                      10,15
Franklin                                                                                   3,12,15
Fulton                                                                                           5
Gallia                                                                                           6
Geauga                                                                                          14
Greene                                                                                          10
Guernsey                                                                                         6
Hamilton                                                                                       1,2
Hancock                                                                                          5
Hardin                                                                                           5
Harrison                                                                                         6
Henry                                                                                            5
Highland                                                                                         2
Hocking                                                                                         15
Holmes                                                                                           7
Huron                                                                                          4,7
Jackson                                                                                          6
Jefferson                                                                                        6
Knox                                                                                             7
Lake                                                                                            14
Lawrence                                                                                         6
Licking                                                                                         12
Logan                                                                                            4
Lorain                                                                                       4,7,9
Lucas                                                                                          5,9
Madison                                                                                         15
Mahoning                                                                                      6,13
Marion                                                                                        4,12
Medina                                                                                        7,16
Meigs                                                                                            6
Mercer                                                                                       4,5,8
Miami                                                                                            8
Monroe                                                                                           6
Montgomery                                                                                      10
Morgan                                                                                          15
Morrow                                                                                          12
Muskingum                                                                                     6,12
Noble                                                                                            6
Ottawa                                                                                         5,9
Paulding                                                                                         5
Perry                                                                                           15
Pickaway                                                                                        15
Pike                                                                                             2
Portage                                                                                   13,14,16
Preble                                                                                           8
Putnam                                                                                           5
Richland                                                                                      7,12
Ross                                                                                          2,15
Sandusky                                                                                         4
Scioto                                                                                         2,6
Seneca                                                                                           4
Shelby                                                                                           4
Stark                                                                                      7,13,16
Summit                                                                                 11,13,14,16
Trumbull                                                                                     13,14
Tuscarawas                                                                                     6,7
Union                                                                                            4
Van Wert                                                                                         5
Vinton                                                                                          15
Warren                                                                                           1
Washington                                                                                       6
Wayne                                                                                           16
Williams                                                                                         5
Wood                                                                                             5
Wyandot                                                                                          5
