County                                                                      Congressional District
Adair                                                                                            2
Alfalfa                                                                                          3
Atoka                                                                                            2
Beaver                                                                                           3
Beckham                                                                                          3
Blaine                                                                                           3
Bryan                                                                                            2
Caddo                                                                                            3
Canadian                                                                                       3,4
Carter                                                                                           4
Cherokee                                                                                         2
Choctaw                                                                                          2
Cimarron                                                                                         3
Cleveland                                                                                        4
Coal                                                                                             2
Comanche                                                                                         4
Cotton                                                                                           4
Craig                                                                                            2
Creek                                                                                          1,3
Custer                                                                                           3
Delaware                                                                                         2
Dewey                                                                                            3
Ellis                                                                                            3
Garfield                                                                                         3
Garvin                                                                                           4
Grady                                                                                            4
Grant                                                                                            3
Greer                                                                                            3
Harmon                                                                                           3
Harper                                                                                           3
Haskell                                                                                          2
Hughes                                                                                           2
Jackson                                                                                          3
Jefferson                                                                                        4
Johnston                                                                                         2
Kay                                                                                              3
Kingfisher                                                                                       3
Kiowa                                                                                            3
Latimer                                                                                          2
Le Flore                                                                                         2
Lincoln                                                                                          3
Logan                                                                                            3
Love                                                                                             4
Major                                                                                            3
Marshall                                                                                         2
Mayes                                                                                            2
McClain                                                                                          4
McCurtain                                                                                        2
McIntosh                                                                                         2
Murray                                                                                           4
Muskogee                                                                                         2
Noble                                                                                            3
Nowata                                                                                           2
Okfuskee                                                                                         2
Oklahoma                                                                                       4,5
Okmulgee                                                                                         2
Osage                                                                                            3
Ottawa                                                                                           2
Pawnee                                                                                           3
Payne                                                                                            3
Pittsburg                                                                                        2
Pontotoc                                                                                         4
Pottawatomie                                                                                     5
Pushmataha                                                                                       2
Roger Mills                                                                                      3
Rogers                                                                                         1,2
Seminole                                                                                         5
Sequoyah                                                                                         2
Stephens                                                                                         4
Texas                                                                                            3
Tillman                                                                                          4
Tulsa                                                                                            1
Wagoner                                                                                          1
Washington                                                                                       1
Washita                                                                                          3
Woods                                                                                            3
Woodward                                                                                         3
