County                                                                      Congressional District
Abbeville                                                                                        3
Aiken                                                                                            2
Allendale                                                                                        6
Anderson                                                                                         3
Bamberg                                                                                          6
Barnwell                                                                                         2
Beaufort                                                                                       1,6
Berkeley                                                                                       1,6
Calhoun                                                                                          6
Charleston                                                                                     1,6
Cherokee                                                                                         5
Chester                                                                                          5
Chesterfield                                                                                     7
Clarendon                                                                                        6
Colleton                                                                                       1,6
Darlington                                                                                       7
Dillon                                                                                           7
Dorchester                                                                                     1,6
Edgefield                                                                                        3
Fairfield                                                                                        5
Florence                                                                                       6,7
Georgetown                                                                                       7
Greenville                                                                                     3,4
Greenwood                                                                                        3
Hampton                                                                                          6
Horry                                                                                            7
Jasper                                                                                           6
Kershaw                                                                                          5
Lancaster                                                                                        5
Laurens                                                                                          3
Lee                                                                                              5
Lexington                                                                                        2
Marion                                                                                           7
Marlboro                                                                                         7
McCormick                                                                                        3
Newberry                                                                                       3,5
Oconee                                                                                           3
Orangeburg                                                                                     2,6
Pickens                                                                                          3
Richland                                                                                       2,6
Saluda                                                                                           3
Spartanburg                                                                                    4,5
Sumter                                                                                         5,6
Union                                                                                            5
Williamsburg                                                                                     6
York                                                                                             5
