County                                                                      Congressional District
Anderson                                                                                         3
Bedford                                                                                          4
Benton                                                                                         7,8
Bledsoe                                                                                          4
Blount                                                                                           2
Bradley                                                                                        3,4
Campbell                                                                                       2,3
Cannon                                                                                           6
Carroll                                                                                          8
Carter                                                                                           1
Cheatham                                                                                       5,6
Chester                                                                                          7
Claiborne                                                                                        2
Clay                                                                                             6
Cocke                                                                                            1
Coffee                                                                                           6
Crockett                                                                                         8
Cumberland                                                                                       6
Davidson                                                                                         5
DeKalb                                                                                           6
Decatur                                                                                          7
Dickson                                                                                          5
Dyer                                                                                             8
Fayette                                                                                          8
Fentress                                                                                         6
Franklin                                                                                         4
Gibson                                                                                           8
Giles                                                                                            7
Grainger                                                                                         2
Greene                                                                                           1
Grundy                                                                                           4
Hamblen                                                                                          1
Hamilton                                                                                         3
Hancock                                                                                          1
Hardeman                                                                                         7
Hardin                                                                                           7
Hawkins                                                                                          1
Haywood                                                                                          8
Henderson                                                                                        7
Henry                                                                                            8
Hickman                                                                                          7
Houston                                                                                          7
Humphreys                                                                                        7
Jackson                                                                                          6
Jefferson                                                                                      1,2
Johnson                                                                                          1
Knox                                                                                             2
Lake                                                                                             8
Lauderdale                                                                                       8
Lawrence                                                                                         7
Lewis                                                                                            7
Lincoln                                                                                          4
Loudon                                                                                           2
Macon                                                                                            6
Madison                                                                                          8
Marion                                                                                           4
Marshall                                                                                         4
Maury                                                                                          4,7
McMinn                                                                                           3
McNairy                                                                                          7
Meigs                                                                                            4
Monroe                                                                                           3
Montgomery                                                                                       7
Moore                                                                                            4
Morgan                                                                                           3
Obion                                                                                            8
Overton                                                                                          6
Perry                                                                                            7
Pickett                                                                                          6
Polk                                                                                             3
Putnam                                                                                           6
Rhea                                                                                             4
Roane                                                                                            3
Robertson                                                                                        6
Rutherford                                                                                       4
Scott                                                                                            3
Sequatchie                                                                                       4
Sevier                                                                                           1
Shelby                                                                                         8,9
Smith                                                                                            6
Stewart                                                                                          7
Sullivan                                                                                         1
Sumner                                                                                           6
Tipton                                                                                           8
Trousdale                                                                                        6
Unicoi                                                                                           1
Union                                                                                            3
Van Buren                                                                                      4,6
Warren                                                                                           4
Washington                                                                                       1
Wayne                                                                                            7
Weakley                                                                                          8
White                                                                                            6
Williamson                                                                                       7
Wilson                                                                                           6
