County                                                                      Congressional District
Adams                                                                                            4
Asotin                                                                                           5
Benton                                                                                           4
Chelan                                                                                           8
Clallam                                                                                          6
Clark                                                                                            3
Columbia                                                                                         5
Cowlitz                                                                                          3
Douglas                                                                                        4,8
Ferry                                                                                            5
Franklin                                                                                         4
Garfield                                                                                         5
Grant                                                                                            4
Grays Harbor                                                                                     6
Island                                                                                           2
Jefferson                                                                                        6
King                                                                                         1,7-9
Kitsap                                                                                           6
Kittitas                                                                                         8
Klickitat                                                                                        3
Lewis                                                                                            3
Lincoln                                                                                          5
Mason                                                                                         6,10
Okanogan                                                                                         4
Pacific                                                                                          3
Pend Oreille                                                                                     5
Pierce                                                                                      6,8-10
San Juan                                                                                         2
Skagit                                                                                         1,2
Skamania                                                                                         3
Snohomish                                                                                    1,2,7
Spokane                                                                                          5
Stevens                                                                                          5
Thurston                                                                                      3,10
Wahkiakum                                                                                        3
Walla Walla                                                                                    4,5
Whatcom                                                                                        1,2
Whitman                                                                                          5
Yakima                                                                                           4
