County                                                                      Congressional District
Barbour                                                                                          1
Berkeley                                                                                         2
Boone                                                                                            3
Braxton                                                                                          2
Brooke                                                                                           1
Cabell                                                                                           3
Calhoun                                                                                          2
Clay                                                                                             2
Doddridge                                                                                        1
Fayette                                                                                          3
Gilmer                                                                                           1
Grant                                                                                            1
Greenbrier                                                                                       3
Hampshire                                                                                        2
Hancock                                                                                          1
Hardy                                                                                            2
Harrison                                                                                         1
Jackson                                                                                          2
Jefferson                                                                                        2
Kanawha                                                                                          2
Lewis                                                                                            2
Lincoln                                                                                          3
Logan                                                                                            3
Marion                                                                                           1
Marshall                                                                                         1
Mason                                                                                            3
McDowell                                                                                         3
Mercer                                                                                           3
Mineral                                                                                          1
Mingo                                                                                            3
Monongalia                                                                                       1
Monroe                                                                                           3
Morgan                                                                                           2
Nicholas                                                                                         3
Ohio                                                                                             1
Pendleton                                                                                        2
Pleasants                                                                                        1
Pocahontas                                                                                       3
Preston                                                                                          1
Putnam                                                                                           2
Raleigh                                                                                          3
Randolph                                                                                         2
Ritchie                                                                                          1
Roane                                                                                            2
Summers                                                                                          3
Taylor                                                                                           1
Tucker                                                                                           1
Tyler                                                                                            1
Upshur                                                                                           2
Wayne                                                                                            3
Webster                                                                                          3
Wetzel                                                                                           1
Wirt                                                                                             2
Wood                                                                                             1
Wyoming                                                                                          3
