distname,state,congdist,PVI2015,incpar16,incpar18,incshiftr
Alabama 1,Alabama,1,15,Republican,Republican,0
Alabama 2,Alabama,2,17,Republican,Republican,0
Alabama 3,Alabama,3,16,Republican,Republican,0
Alabama 4,Alabama,4,28,Republican,Republican,0
Alabama 5,Alabama,5,17,Republican,Republican,0
Alabama 6,Alabama,6,28,Republican,Republican,0
Alabama 7,Alabama,7,-20,Democratic,Democratic,0
Alaska 0,Alaska,0,12,Republican,Republican,0
Arizona 1,Arizona,1,4,Open,Democratic,-1
Arizona 2,Arizona,2,3,Republican,Republican,0
Arizona 3,Arizona,3,-8,Democratic,Democratic,0
Arizona 4,Arizona,4,20,Republican,Republican,0
Arizona 5,Arizona,5,17,Open,Republican,1
Arizona 6,Arizona,6,12,Republican,Republican,0
Arizona 7,Arizona,7,-16,Democratic,Democratic,0
Arizona 8,Arizona,8,15,Republican,Republican,0
Arizona 9,Arizona,9,1,Democratic,Open,1
Arkansas 1,Arkansas,1,14,Republican,Republican,0
Arkansas 2,Arkansas,2,8,Republican,Republican,0
Arkansas 3,Arkansas,3,19,Republican,Republican,0
Arkansas 4,Arkansas,4,15,Republican,Republican,0
California 1,California,1,10,Republican,Republican,0
California 10,California,10,1,Republican,Republican,0
California 11,California,11,-17,Democratic,Democratic,0
California 12,California,12,-34,Democratic,Democratic,0
California 13,California,13,-37,Democratic,Democratic,0
California 14,California,14,-23,Democratic,Democratic,0
California 15,California,15,-16,Democratic,Democratic,0
California 16,California,16,-7,Democratic,Democratic,0
California 17,California,17,-20,Democratic,Democratic,0
California 18,California,18,-18,Democratic,Democratic,0
California 19,California,19,-19,Democratic,Democratic,0
California 2,California,2,-20,Democratic,Democratic,0
California 20,California,20,-21,Open,Democratic,-1
California 21,California,21,-2,Republican,Republican,0
California 22,California,22,10,Republican,Republican,0
California 23,California,23,16,Republican,Republican,0
California 24,California,24,-4,Open,Democratic,-1
California 25,California,25,3,Republican,Republican,0
California 26,California,26,-4,Democratic,Democratic,0
California 27,California,27,-11,Democratic,Democratic,0
California 28,California,28,-20,Democratic,Democratic,0
California 29,California,29,-25,Democratic,Democratic,0
California 3,California,3,-3,Democratic,Democratic,0
California 30,California,30,-14,Democratic,Democratic,0
California 31,California,31,-5,Democratic,Democratic,0
California 32,California,32,-12,Democratic,Democratic,0
California 33,California,33,-11,Democratic,Democratic,0
California 34,California,34,-30,Democratic,Democratic,0
California 35,California,35,-15,Democratic,Democratic,0
California 36,California,36,1,Democratic,Democratic,0
California 37,California,37,-34,Democratic,Democratic,0
California 38,California,38,-12,Democratic,Democratic,0
California 39,California,39,5,Republican,Republican,0
California 4,California,4,10,Republican,Republican,0
California 40,California,40,-29,Democratic,Democratic,0
California 41,California,41,-9,Democratic,Democratic,0
California 42,California,42,10,Republican,Republican,0
California 43,California,43,-26,Democratic,Democratic,0
California 44,California,44,-32,Open,Democratic,-1
California 45,California,45,7,Republican,Republican,0
California 46,California,46,-9,Open,Democratic,-1
California 47,California,47,-8,Democratic,Democratic,0
California 48,California,48,7,Republican,Republican,0
California 49,California,49,4,Republican,Republican,0
California 5,California,5,-19,Democratic,Democratic,0
California 50,California,50,14,Republican,Republican,0
California 51,California,51,-16,Democratic,Democratic,0
California 52,California,52,-2,Democratic,Democratic,0
California 53,California,53,-10,Democratic,Democratic,0
California 6,California,6,-18,Democratic,Democratic,0
California 7,California,7,0,Democratic,Democratic,0
California 8,California,8,10,Republican,Republican,0
California 9,California,9,-6,Democratic,Democratic,0
Colorado 1,Colorado,1,-18,Democratic,Democratic,0
Colorado 2,Colorado,2,-8,Democratic,Open,1
Colorado 3,Colorado,3,5,Republican,Republican,0
Colorado 4,Colorado,4,11,Republican,Republican,0
Colorado 5,Colorado,5,13,Republican,Republican,0
Colorado 6,Colorado,6,-1,Republican,Republican,0
Colorado 7,Colorado,7,-5,Democratic,Democratic,0
Connecticut 1,Connecticut,1,-13,Democratic,Democratic,0
Connecticut 2,Connecticut,2,-5,Democratic,Democratic,0
Connecticut 3,Connecticut,3,-11,Democratic,Democratic,0
Connecticut 4,Connecticut,4,-5,Democratic,Democratic,0
Connecticut 5,Connecticut,5,-3,Democratic,Open,1
Delaware 0,Delaware,0,-8,Open,Democratic,-1
Florida 1,Florida,1,22,Open,Republican,1
Florida 10,Florida,10,-9,Republican,Democratic,-2
Florida 11,Florida,11,11,Open,Republican,1
Florida 12,Florida,12,6,Republican,Republican,0
Florida 13,Florida,13,-3,Republican,Democratic,-2
Florida 14,Florida,14,-6,Democratic,Democratic,0
Florida 15,Florida,15,6,Republican,Open,-1
Florida 16,Florida,16,6,Republican,Republican,0
Florida 17,Florida,17,10,Republican,Open,-1
Florida 18,Florida,18,3,Open,Republican,1
Florida 19,Florida,19,12,Open,Republican,1
Florida 2,Florida,2,18,Open,Republican,1
Florida 20,Florida,20,-30,Democratic,Democratic,0
Florida 21,Florida,21,-10,Democratic,Democratic,0
Florida 22,Florida,22,-5,Democratic,Democratic,0
Florida 23,Florida,23,-9,Democratic,Democratic,0
Florida 24,Florida,24,-33,Democratic,Democratic,0
Florida 25,Florida,25,10,Republican,Republican,0
Florida 26,Florida,26,0,Republican,Republican,0
Florida 27,Florida,27,1,Republican,Republican,0
Florida 3,Florida,3,9,Republican,Republican,0
Florida 4,Florida,4,19,Open,Republican,1
Florida 5,Florida,5,-12,Open,Democratic,-1
Florida 6,Florida,6,4,Republican,Open,-1
Florida 7,Florida,7,2,Republican,Democratic,-2
Florida 8,Florida,8,9,Republican,Republican,0
Florida 9,Florida,9,-3,Open,Democratic,-1
Georgia 1,Georgia,1,9,Republican,Republican,0
Georgia 10,Georgia,10,14,Republican,Republican,0
Georgia 11,Georgia,11,19,Republican,Republican,0
Georgia 12,Georgia,12,9,Republican,Republican,0
Georgia 13,Georgia,13,-16,Democratic,Democratic,0
Georgia 14,Georgia,14,26,Republican,Republican,0
Georgia 2,Georgia,2,-6,Democratic,Democratic,0
Georgia 3,Georgia,3,19,Open,Republican,1
Georgia 4,Georgia,4,-21,Democratic,Democratic,0
Georgia 5,Georgia,5,-32,Democratic,Democratic,0
Georgia 6,Georgia,6,14,Republican,Republican,0
Georgia 7,Georgia,7,14,Republican,Republican,0
Georgia 8,Georgia,8,15,Republican,Republican,0
Georgia 9,Georgia,9,30,Republican,Republican,0
Hawaii 1,Hawaii,1,-18,Open,Open,0
Hawaii 2,Hawaii,2,-21,Democratic,Democratic,0
Idaho 1,Idaho,1,18,Republican,Open,-1
Idaho 2,Idaho,2,17,Republican,Republican,0
Illinois 1,Illinois,1,-28,Democratic,Democratic,0
Illinois 10,Illinois,10,-8,Republican,Democratic,-2
Illinois 11,Illinois,11,-8,Democratic,Democratic,0
Illinois 12,Illinois,12,0,Republican,Republican,0
Illinois 13,Illinois,13,0,Republican,Republican,0
Illinois 14,Illinois,14,5,Republican,Republican,0
Illinois 15,Illinois,15,14,Republican,Republican,0
Illinois 16,Illinois,16,4,Republican,Republican,0
Illinois 17,Illinois,17,-7,Democratic,Democratic,0
Illinois 18,Illinois,18,11,Republican,Republican,0
Illinois 2,Illinois,2,-29,Democratic,Democratic,0
Illinois 3,Illinois,3,-5,Democratic,Democratic,0
Illinois 4,Illinois,4,-29,Democratic,Open,1
Illinois 5,Illinois,5,-16,Democratic,Democratic,0
Illinois 6,Illinois,6,4,Republican,Republican,0
Illinois 7,Illinois,7,-36,Democratic,Democratic,0
Illinois 8,Illinois,8,-8,Open,Democratic,-1
Illinois 9,Illinois,9,-15,Democratic,Democratic,0
Indiana 1,Indiana,1,-10,Democratic,Democratic,0
Indiana 2,Indiana,2,6,Republican,Republican,0
Indiana 3,Indiana,3,13,Open,Republican,1
Indiana 4,Indiana,4,11,Republican,Open,-1
Indiana 5,Indiana,5,9,Republican,Republican,0
Indiana 6,Indiana,6,12,Republican,Open,-1
Indiana 7,Indiana,7,-13,Democratic,Democratic,0
Indiana 8,Indiana,8,8,Republican,Republican,0
Indiana 9,Indiana,9,9,Open,Republican,1
Iowa 1,Iowa,1,-5,Republican,Republican,0
Iowa 2,Iowa,2,-4,Democratic,Democratic,0
Iowa 3,Iowa,3,0,Republican,Republican,0
Iowa 4,Iowa,4,5,Republican,Republican,0
Kansas 1,Kansas,1,23,Open,Republican,1
Kansas 2,Kansas,2,8,Republican,Open,-1
Kansas 3,Kansas,3,6,Republican,Republican,0
Kansas 4,Kansas,4,14,Republican,Republican,0
Kentucky 1,Kentucky,1,18,Open,Republican,1
Kentucky 2,Kentucky,2,16,Republican,Republican,0
