FIPS,state,state_code,state_name,county,county_code,Dem16,Rep16,Dem18,Rep18,Dist
2013,AK,2,Alaska,Aleutians East Borough,13,NA,NA,NA,NA,
2016,AK,2,Alaska,Aleutians West Census Area,16,NA,NA,NA,NA,
2020,AK,2,Alaska,Anchorage Municipality,20,NA,NA,NA,NA,
2050,AK,2,Alaska,Bethel Census Area,50,NA,NA,NA,NA,
2060,AK,2,Alaska,Bristol Bay Borough,60,NA,NA,NA,NA,
2068,AK,2,Alaska,Denali Borough,68,NA,NA,NA,NA,
2070,AK,2,Alaska,Dillingham Census Area,70,NA,NA,NA,NA,
2090,AK,2,Alaska,Fairbanks North Star Borough,90,NA,NA,NA,NA,
2100,AK,2,Alaska,Haines Borough,100,NA,NA,NA,NA,
2105,AK,2,Alaska,Hoonah-Angoon Census Area,105,NA,NA,NA,NA,
2110,AK,2,Alaska,Juneau City and Borough,110,NA,NA,NA,NA,
2122,AK,2,Alaska,Kenai Peninsula Borough,122,NA,NA,NA,NA,
2130,AK,2,Alaska,Ketchikan Gateway Borough,130,NA,NA,NA,NA,
2150,AK,2,Alaska,Kodiak Island Borough,150,NA,NA,NA,NA,
2158,AK,2,Alaska,Kusilvak Census Area,158,NA,NA,NA,NA,
2164,AK,2,Alaska,Lake and Peninsula Borough,164,NA,NA,NA,NA,
2170,AK,2,Alaska,Matanuska-Susitna Borough,170,NA,NA,NA,NA,
2180,AK,2,Alaska,Nome Census Area,180,NA,NA,NA,NA,
2185,AK,2,Alaska,North Slope Borough,185,NA,NA,NA,NA,
2188,AK,2,Alaska,Northwest Arctic Borough,188,NA,NA,NA,NA,
2195,AK,2,Alaska,Petersburg Census Area,195,NA,NA,NA,NA,
2198,AK,2,Alaska,Prince of Wales-Hyder Census Area,198,NA,NA,NA,NA,
2220,AK,2,Alaska,Sitka City and Borough,220,NA,NA,NA,NA,
2230,AK,2,Alaska,Skagway Municipality,230,NA,NA,NA,NA,
2240,AK,2,Alaska,Southeast Fairbanks Census Area,240,NA,NA,NA,NA,
2261,AK,2,Alaska,Valdez-Cordova Census Area,261,NA,NA,NA,NA,
2270,AK,2,Alaska,Wade Hampton Census Area,270,NA,NA,NA,NA,
2275,AK,2,Alaska,Wrangell City and Borough,275,NA,NA,NA,NA,
2282,AK,2,Alaska,Yakutat City and Borough,282,NA,NA,NA,NA,
2290,AK,2,Alaska,Yukon-Koyukuk Census Area,290,NA,NA,NA,NA,
4001,AZ,4,Arizona,Apache County,1,17906,7573,16905,8078,1
4005,AZ,4,Arizona,Coconino County,5,33918,18962,35864,18780,1
4007,AZ,4,Arizona,Gila County,7,4350,3097,4022,2812,1
4009,AZ,4,Arizona,Graham County,9,4315,6715,3658,6886,1
4011,AZ,4,Arizona,Greenlee County,11,1454,1497,1160,1379,1
4013,AZ,4,Arizona,Maricopa County,13,354,100,309,46,1
4015,AZ,4,Arizona,Mohave County,15,199,71,180,75,1
4017,AZ,4,Arizona,Navajo County,17,19160,16926,18018,18331,1
4019,AZ,4,Arizona,Pima County,19,22421,28311,24662,28704,1
4021,AZ,4,Arizona,Pinal County,21,30493,32117,30465,30650,1
4025,AZ,4,Arizona,Yavapai County,25,7649,6376,7997,7043,1
4003,AZ,4,Arizona,Cochise County,3,15718,33692,18539,26210,2
4019,AZ,4,Arizona,Pima County,19,120155,146114,142461,106892,2
4013,AZ,4,Arizona,Maricopa County,13,46902,425,56256,25548,3
4021,AZ,4,Arizona,Pinal County,21,117,1,102,4,3
4023,AZ,4,Arizona,Santa Cruz County,23,12789,104,9109,4314,3
4027,AZ,4,Arizona,Yuma County,27,20245,96,14485,9280,3
4007,AZ,4,Arizona,Gila County,7,3379,10522,3510,9794,4
4012,AZ,4,Arizona,La Paz County,12,1641,3901,1399,3533,4
