State,County,fips,acres,prod_bush,sales_USD
Alabama,Autauga,1001,1206,47675,339000
Alabama,Baldwin,1003,11733,479413,4620000
Alabama,Barbour,1005,1335,56753,616000
Alabama,Bibb,1007,1623,54154, (D)
Alabama,Blount,1009,2271,112464,1116000
Alabama,Bullock,1011,270,1380,16000
Alabama,Butler,1013, (D), (D), (D)
Alabama,Calhoun,1015,2529,94834,912000
Alabama,Chambers,1017, (D), (D), (D)
Alabama,Cherokee,1019,8099,308117,2883000
Alabama,Chilton,1021,903,20254,191000
Alabama,Choctaw,1023, (D), (D), (D)
Alabama,Clay,1027, (D), (D), (D)
Alabama,Cleburne,1029, (D), (D), (D)
Alabama,Coffee,1031,1048,49303,434000
Alabama,Colbert,1033,27046,1291100,12390000
Alabama,Conecuh,1035,175,5751, (D)
Alabama,Covington,1039,1195,27710,274000
Alabama,Crenshaw,1041,101,3434, (D)
Alabama,Cullman,1043,9014,396161,3725000
Alabama,Dale,1045,882,21666,214000
Alabama,Dallas,1047,6261,229996,2298000
Alabama,De Kalb,1049,15418,667037,6433000
Alabama,Elmore,1051,726,25918, (D)
Alabama,Escambia,1053,2887,114973,1134000
Alabama,Etowah,1055,2397,113899,923000
Alabama,Fayette,1057,871,29838,292000
Alabama,Franklin,1059,1919,74081,721000
Alabama,Geneva,1061,1784,62327,605000
Alabama,Greene,1063, (D), (D), (D)
Alabama,Hale,1065, (D), (D), (D)
Alabama,Henry,1067,817,24891,245000
Alabama,Houston,1069,2018,73222,661000
Alabama,Jackson,1071,26270,1037483,9980000
Alabama,Lamar,1075,1357,36623, (D)
Alabama,Lauderdale,1077,25907,1264673,12263000
Alabama,Lawrence,1079,36778,1931074,18803000
Alabama,Lee,1081, (D), (D), (D)
Alabama,Limestone,1083,58679,2836489,27857000
Alabama,Lowndes,1085,1107,41280, (D)
Alabama,Macon,1087,633,19315, (D)
Alabama,Madison,1089,39569,1584835,15347000
Alabama,Marengo,1091,1317,33157, (D)
Alabama,Marion,1093,3670,136023,1394000
Alabama,Marshall,1095,5775,230183, (D)
Alabama,Mobile,1097,2517,75126,747000
Alabama,Monroe,1099,588,18536,179000
Alabama,Montgomery,1101,2086,67672,661000
Alabama,Morgan,1103,7178,321773,3141000
Alabama,Perry,1105,10258,400153, (D)
Alabama,Pickens,1107,2679,162362, (D)
Alabama,Pike,1109,2247,88868,775000
Alabama,Randolph,1111, (D), (D), (D)
Alabama,Russell,1113,34,675, (D)
Alabama,Shelby,1117,1948,99752,988000
Alabama,Sumter,1119,1740,59870,543000
Alabama,Talladega,1121,3877,177614, (D)
Alabama,Tallapoosa,1123, (D), (D), (D)
Alabama,Tuscaloosa,1125,2787,119512,1137000
Alabama,Walker,1127,1055,31180,251000
Alabama,Washington,1129, (D), (D), (D)
Alabama,Wilcox,1131, (D), (D), (D)
Alabama,Winston,1133, (D), (D), (D)
Arkansas,Arkansas,5001,205585,11067907,107827000
Arkansas,Ashley,5003,52517,2962109,27913000
Arkansas,Benton,5007,2821,109096,1012000
Arkansas,Chicot,5017,187606,9579659,93856000
Arkansas,Clark,5019,8532,320344,3175000
Arkansas,Clay,5021,118118,6464758,62127000
Arkansas,Columbia,5027, (D), (D), (D)
Arkansas,Conway,5029,20505,806481,7810000
Arkansas,Craighead,5031,115302,6150343,58661000
Arkansas,Crawford,5033,19930,581328,5297000
Arkansas,Crittenden,5035,219336,11520325,112291000
Arkansas,Cross,5037,150747,7607382,73928000
Arkansas,Desha,5041,206977,11679519,112167000
Arkansas,Drew,5043,40133,2177176,21937000
Arkansas,Faulkner,5045,10474,437717,4268000
Arkansas,Franklin,5047,3218,114240,1047000
Arkansas,Fulton,5049,1050,71400,678000
Arkansas,Greene,5055,81590,4154242,38571000
Arkansas,Independence,5063,24550,1076279,10100000
Arkansas,Izard,5065,74,2840, (D)
Arkansas,Jackson,5067,122682,5149827,49318000
Arkansas,Jefferson,5069,127046,6728199,65528000
Arkansas,Johnson,5071,2928,92396, (D)
Arkansas,Lafayette,5073,15347,759796,7301000
Arkansas,Lawrence,5075,70491,2928410,27770000
Arkansas,Lee,5077,150942,7291282,70480000
Arkansas,Lincoln,5079,85526,4906357,47226000
Arkansas,Little River,5081,10227,407125,4134000
Arkansas,Logan,5083,4076,203237, (D)
Arkansas,Lonoke,5085,118090,4923198,49689000
Arkansas,Madison,5087, (D), (D), (D)
Arkansas,Miller,5091,19095,656653,6426000
Arkansas,Mississippi,5093,278413,15762077,151196000
Arkansas,Monroe,5095,110263,5227732,48419000
Arkansas,Perry,5105,2176,111885,1128000
Arkansas,Phillips,5107,263390,13907530,134378000
Arkansas,Poinsett,5111,159019,8790903,84804000
Arkansas,Pope,5115,9138,392668,3835000
Arkansas,Prairie,5117,108035,5489325,53681000
Arkansas,Pulaski,5119,21620,1000165,9729000
Arkansas,Randolph,5121,30841,1489433,13486000
Arkansas,Saint Francis,5123,145016,7169078,69574000
Arkansas,Sebastian,5131,1532,49586, (D)
Arkansas,Sevier,5133, (D), (D), (D)
Arkansas,Washington,5143, (D), (D), (D)
Arkansas,White,5145,34724,1477634,14638000
Arkansas,Woodruff,5147,131614,5853015,55948000
Arkansas,Yell,5149,5218,222231,2210000
Colorado,Adams,8001,1239,39501, (D)
Colorado,Baca,8009, (D), (D), (D)
Colorado,Cheyenne,8017,258,15816,142000
Colorado,Jefferson,8059, (D), (D), (D)
Colorado,Kiowa,8061, (D), (D), (D)
Colorado,Kit Carson,8063,5095,299317,2685000
Colorado,Lincoln,8073, (D), (D), (D)
Colorado,Logan,8075,944,52145,466000
Colorado,Mesa,8077, (D), (D), (D)
Colorado,Montrose,8085,376,18573,163000
Colorado,Morgan,8087, (D), (D), (D)
Colorado,Phillips,8095,247,4991,47000
Colorado,Prowers,8099, (D), (D), (D)
