FIPS,state,county,state_code,state_name,county_code,Dem16,Rep16,Dem18,Rep18,Dist,Splitflag,soyarea1617,soypct,soyval12,trumpch,cornarea1617,lndarea,cornpct,County,perclatino1317,percwhite1317,totpop1317,medinc1317,percblack1317,perc_unemploy1317,perc_foreign1317,urb2010,urbclust2010,perc_HS_GED,perc_BA,trump2016,clinton2016,tot_votes2016,trumpmarg,GDP2015_gvnt,GDP2015_goods,GDP2015_serv,GDP2015,GDP2012_gvnt,GDP2012_goods,GDP2012_serv,GDP2012,stateGDP,soyarea,prod_bush,sales_USD
4001,AZ,apache county,4,Arizona,4,17906,7573,16905,8078,1,1,0,0,0,1.129846116,0,7166412.8,0,NA,0.061087679,0.227842798,71602,32360,0.005083657,0.60556797,0.019384933,0,0.259389245,0.329593749,0.076314948,5315,12196,18659,-0.368776462,830320,NA,NA,2250396,840339,94295,1572081,2506715,326446,0,0,0
4003,AZ,cochise county,4,Arizona,4,15718,33692,18539,26210,2,1,0,0,0,0.659555291,0,3946041.6,0,NA,0.349955737,0.844019729,126516,47847,0.037829207,0.50072012,0.112191343,0.401572945,0.636989326,0.229793507,0.147596247,25036,15291,43147,0.225855795,1899378,NA,NA,4380945,2063316,305252,1746153,4114722,326446,0,0,0
4005,AZ,coconino county,4,Arizona,4,33918,18962,35864,18780,1,1,0,0,0,0.936662117,0,11916089.6,0,NA,0.138958013,0.635802336,138639,53523,0.014324973,0.36509858,0.047374837,0.535310703,0.685339344,0.213382495,0.209509787,16573,25308,44929,-0.194417859,1555403,848595,4322558,6726556,1403473,717729,3827736,5948938,326446,0,0,0
4007,AZ,gila county,4,Arizona,4,7729,13619,7532,12606,1,1,0,0,0,0.949828242,0,3045075.2,0,NA,0.186470976,0.775444539,53145,41179,0.005644934,0.525014972,0.039589801,0,0.589380003,0.274591013,0.116820253,13672,6746,21398,0.32367511,350120,654393,590482,1594995,330293,762921,502135,1595348,326446,0,0,0
4009,AZ,graham county,4,Arizona,4,4315,6715,3658,6886,1,1,0,0,0,1.209645461,0,2958464,0,NA,0.32530504,0.789973475,37700,48173,0.019893899,0.504938704,0.038328912,0,0.535626008,0.313490364,0.090792291,8025,3301,11939,0.39567803,228593,91978,398059,718631,213913,95234,363099,672246,326446,0,0,0
4011,AZ,greenlee county,4,Arizona,4,1454,1497,1160,1379,1,1,0,0,0,1.154646074,0,1179603.2,0,NA,0.464133219,0.910866781,9368,56298,0.020388557,0.432748538,0.034585824,0,0.534313144,0.37041481,0.09598903,1892,1092,3243,0.246685168,39969,NA,NA,1114962,34823,1167625,61254,1263702,326446,0,0,0
4012,AZ,la paz county,4,Arizona,4,1641,3901,1399,3533,4,1,0,0,0,1.062327817,0,2879763.2,0,NA,0.262880305,0.753430678,20477,36479,0.008643844,0.590745295,0.104165649,0,0.436722144,0.369915036,0.073699794,3381,1318,4931,0.418373555,162373,63695,340422,566490,153949,97969,244836,496754,326446,0,0,0
4013,AZ,maricopa county,4,Arizona,4,579025,774172,739044,670208,1,1,0,0,0,0.678264626,0,5888089.6,0,NA,0.306039151,0.78008476,4155501,58580,0.053510515,0.364970416,0.147858946,0.965680905,0.976362003,0.227748861,0.200263091,590465,549040,1201934,0.034465287,20562137,29764663,165054572,215381372,19248548,26867865,144940728,191057142,326446,0,0,0
4015,AZ,mohave county,4,Arizona,4,18697,56207,17053,52567,1,1,0,0,0,1.025401439,0,8519091.2,0,NA,0.159220484,0.904006527,204691,41567,0.010786991,0.549074375,0.067110914,0.266886795,0.770363562,0.355525239,0.079217826,54656,16485,74189,0.514510237,600491,660016,3217303,4477811,612458,558327,2831611,4002396,326446,0,0,0
4017,AZ,navajo county,4,Arizona,4,19160,16926,18018,18331,1,1,0,0,0,1.151650613,0,6368268.8,0,NA,0.11171248,0.478656559,107902,38798,0.008238958,0.512362756,0.027608385,0,0.458617577,0.300178791,0.094202474,18165,15362,35409,0.079160665,711617,347606,2229071,3288295,695786,446481,1885443,3027709,326446,0,0,0
4019,AZ,pima county,4,Arizona,4,142576,174425,167123,135596,1,1,0,0,0,0.663205852,0,5879705.6,0,NA,0.365956255,0.768918955,1007257,48676,0.034620757,0.412025386,0.128302906,0.851244003,0.924765089,0.224648383,0.182308854,147019,195649,360762,-0.134798011,7822134,5993846,23206837,37022816,7574655,6895241,21624079,36093975,326446,0,0,0
4021,AZ,pinal county,4,Arizona,4,49533,71492,49938,65135,1,1,0,0,0,0.903692042,0,3433990.4,0,NA,0.29608889,0.8041683,405537,52628,0.045058774,0.506949534,0.096001105,0.532490619,0.780953775,0.298609804,0.119360698,53857,35737,93805,0.193166676,1681155,1701255,3047909,6430319,1632110,2057601,2403996,6093707,326446,0,0,0
4023,AZ,santa cruz county,4,Arizona,4,12789,104,9109,4314,3,1,0,0,0,58.23883606,0,791628.8,0,NA,0.83379352,0.861879287,46358,39630,0.005090815,0.456211755,0.320354631,0,0.731168283,0.264050975,0.151677806,3650,10684,14926,-0.471258207,449616,104271,900278,1454165,435267,81263,814456,1330985,326446,0,0,0
4025,AZ,yavapai county,4,Arizona,4,35081,71065,38846,67289,1,1,0,0,0,0.855094224,0,5199040,0,NA,0.142588201,0.919804319,220972,48259,0.005290263,0.519036399,0.063646073,0.401567527,0.668028223,0.258686524,0.146894739,58862,29705,92780,0.314259539,879968,1062863,3735743,5678574,812263,909338,3066635,4788236,326446,0,0,0
4027,AZ,yuma county,4,Arizona,4,26225,14729,20307,22937,3,1,0,0,0,2.011097289,0,3528953.6,0,NA,0.628864163,0.730885398,204281,43253,0.020887895,0.443510862,0.271337031,0.685850902,0.895704237,0.259736799,0.092347727,20586,18336,40759,0.055202532,1814754,1213439,3001905,6030098,1769644,997369,2529235,5296249,326446,0,0,0
6001,CA,alameda county,6,California,6,492048,126772,457183,70327,13,1,0,0,0,0.597057485,0,472972.8,0,NA,0.225231727,0.426309282,1629615,85743,0.110729221,0.333337874,0.321435431,0.996113942,0.996113942,0.17890197,0.257329814,91189,486351,613195,-0.644431217,14365069,20132713,78268447,112766230,11881524,15313173,66600579,93795276,2797601,0,0,0
6003,CA,alpine county,6,California,6,329,262,420,199,4,1,0,0,0,0.594974555,0,472531.2,0,NA,0.097256858,0.686616791,1203,63438,0.014962594,0.559798995,0.019118869,0,0,0.341553637,0.14919852,211,318,575,-0.186086957,22245,1892,80877,105014,18686,2435,70131,91253,2797601,0,0,0
6005,CA,amador county,6,California,6,5914,11583,7206,10285,4,1,0,0,0,0.72873613,0,380531.2,0,NA,0.132498794,0.869913687,37306,60636,0.02133705,0.539993804,0.060338819,0,0.395762779,0.270507374,0.14799848,10239,5904,17186,0.252240196,390566,228661,708536,1327762,345896,193552,566794,1106242,2797601,0,0,0
6007,CA,butte county,6,California,6,46244,48412,48127,41063,1,1,0,0,0,0.815012467,0,1047334.4,0,NA,0.157388536,0.822447792,225207,46516,0.014972892,0.443933848,0.076263171,0.446254545,0.810981818,0.226312038,0.176887019,42193,38676,87847,0.040035516,1320580,1256304,4880190,7457074,1109304,1018314,4272030,6399648,2797601,0,0,0
6009,CA,calaveras county,6,California,6,8037,14667,9006,12518,4,1,0,0,0,0.761650411,0,652806.4,0,NA,0.114654771,0.9178596,45057,54800,0.005792663,0.529065663,0.056994474,0,0.245908114,0.275912409,0.125722628,13072,7738,22334,0.238828692,225190,124558,496963,846712,192815,115570,463072,771457,2797601,0,0,0
6011,CA,colusa county,6,California,6,3126,3352,2411,3277,3,1,0,0,0,1.267547359,0,736467.2,0,NA,0.583779506,0.882908888,21479,56481,0.009218306,0.376360713,0.257460776,0,0.682758299,0.231845436,0.11281368,3551,2659,6594,0.135274492,168026,381435,869028,1418490,146026,361633,625696,1133356,2797601,0,0,0
6013,CA,contra costa county,6,California,6,308656,130728,289768,105780,5,1,0,0,0,0.861904694,0,458201.6,0,NA,0.252744114,0.58608338,1123678,88456,0.085740755,0.354776228,0.247042302,0.978684969,0.992072639,0.178872736,0.258783365,105819,286658,415972,-0.434738396,5278975,18251961,48825266,72356202,4603284,19518050,37999850,62121185,2797601,0,0,0
