county14,cntyname2,intptlon,intptlat
1001,Autauga AL,-86.494186,32.500389
1003,Baldwin AL,-87.762466,30.548923
1005,Barbour AL,-85.309929,31.844037
1007,Bibb AL,-87.127656,33.030921
1009,Blount AL,-86.591401,33.955244
1011,Bullock AL,-85.701197,32.116327
1013,Butler AL,-86.653511,31.773539
1015,Calhoun AL,-85.819404,33.72546
1017,Chambers AL,-85.266519,32.86044
1019,Cherokee AL,-85.629198,34.179333
1021,Chilton AL,-86.687443,32.877547
1023,Choctaw AL,-88.264101,32.016563
1025,Clarke AL,-87.81563,31.685685
1027,Clay AL,-85.820165,33.272412
1029,Cleburne AL,-85.494301,33.629771
1031,Coffee AL,-85.904739,31.354433
1033,Colbert AL,-87.685151,34.723385
1035,Conecuh AL,-86.996469,31.418674
1037,Coosa AL,-86.155045,32.975933
1039,Covington AL,-86.410991,31.282449
1041,Crenshaw AL,-86.297107,31.743487
1043,Cullman AL,-86.831816,34.162363
1045,Dale AL,-85.64126,31.383346
1047,Dallas AL,-87.034938,32.408815
1049,DeKalb AL,-85.817037,34.455111
1051,Elmore AL,-86.225623,32.559653
1053,Escambia AL,-87.282004,31.088737
1055,Etowah AL,-86.025408,34.013693
1057,Fayette AL,-87.770364,33.726422
1059,Franklin AL,-87.793573,34.460481
1061,Geneva AL,-85.788837,31.094261
1063,Greene AL,-87.924012,32.830505
1065,Hale AL,-87.62609,32.775805
1067,Henry AL,-85.268773,31.478594
1069,Houston AL,-85.391235,31.20455
1071,Jackson AL,-85.938553,34.731985
1073,Jefferson AL,-86.81462,33.518601
1075,Lamar AL,-88.109666,33.76277
1077,Lauderdale AL,-87.608752,34.86618
1079,Lawrence AL,-87.272433,34.543683
1081,Lee AL,-85.345889,32.588093
1083,Limestone AL,-86.938983,34.815613
1085,Lowndes AL,-86.618708,32.162415
1087,Macon AL,-85.714998,32.425739
1089,Madison AL,-86.613253,34.746392
1091,Marengo AL,-87.800664,32.340479
1093,Marion AL,-87.874308,34.111797
1095,Marshall AL,-86.293319,34.311975
1097,Mobile AL,-88.170618,30.683994
1099,Monroe AL,-87.360832,31.505611
1101,Montgomery AL,-86.243799,32.346175
1103,Morgan AL,-86.930832,34.514252
1105,Perry AL,-87.369124,32.581066
1107,Pickens AL,-88.066411,33.292973
1109,Pike AL,-85.948661,31.787277
1111,Randolph AL,-85.427305,33.257607
1113,Russell AL,-85.062812,32.421972
1115,St. Clair AL,-86.369084,33.660628
1117,Shelby AL,-86.737934,33.290719
1119,Sumter AL,-88.232624,32.57442
1121,Talladega AL,-86.169048,33.372084
1123,Tallapoosa AL,-85.864547,32.853061
1125,Tuscaloosa AL,-87.520232,33.214154
1127,Walker AL,-87.253978,33.834859
1129,Washington AL,-88.186207,31.410368
1131,Wilcox AL,-87.380424,31.999753
1133,Winston AL,-87.415772,34.163825
2013,Aleutians East Borough AK,-162.874239,54.860151
2016,Aleutians West Census Area AK,-155.382293,54.023572
2020,Anchorage Borough AK,-149.793017,61.192232
2050,Bethel Census Area AK,-162.139214,60.679947
2060,Bristol Bay Borough AK,-156.834067,58.735464
2068,Denali Borough AK,-149.034088,63.882846
2070,Dillingham Census Area AK,-158.715222,59.136257
2090,Fairbanks North Star Borough AK,-147.624384,64.831553
2100,Haines Borough AK,-135.560523,59.264126
2105,Hoonah-Angoon Census Area,-135.388805,58.078283
2110,Juneau Borough AK,-134.530698,58.358517
2122,Kenai Peninsula Borough AK,-151.06323,60.292593
2130,Ketchikan Gateway Borough AK,-131.678606,55.367859
2150,Kodiak Island Borough AK,-152.460309,57.779138
2164,Lake and Peninsula Borough AK,-156.294924,58.557351
2170,Matanuska-Susitna Borough AK,-149.422185,61.611281
2180,Nome Census Area AK,-165.297887,64.457027
2185,North Slope Borough AK,-154.842509,70.52278
2188,Northwest Arctic Borough AK,-161.649939,66.943735
2195,Petersburg Census Area,-133.11533,56.812713
2198,Prince of Wales-Hyder Census Area,-132.56354,55.448164
2220,Sitka Borough AK,-135.337187,57.062747
2230,Skagway Municipality,-135.311502,59.464537
2240,Southeast Fairbanks Census Area AK,-144.699458,63.856186
2261,Valdez-Cordova Census Area AK,-145.874188,61.261491
2270,Wade Hampton Census Area AK (D),-164.308552,62.089902
2275,Wrangell City and Borough,-132.311197,56.385822
2282,Yakutat Borough,-139.724881,59.547975
2290,Yukon-Koyukuk Census Area AK,-152.360914,65.010263
4001,Apache AZ,-109.415078,35.577688
4003,Cochise AZ,-110.063145,31.607358
4005,Coconino AZ,-111.58947,35.514426
4007,Gila AZ,-111.008927,33.82356
4009,Graham AZ,-109.812486,32.86733
4011,Greenlee AZ,-109.248825,32.970403
4012,La Paz AZ,-114.172246,33.908362
4013,Maricopa AZ,-112.041584,33.493404
4015,Mohave AZ,-114.248147,35.069679
4017,Navajo AZ,-110.212326,34.893626
4019,Pima AZ,-110.960036,32.216708
4021,Pinal AZ,-111.588491,33.060133
4023,Santa Cruz AZ,-110.94318,31.434734
4025,Yavapai AZ,-112.267662,34.629015
4027,Yuma AZ,-114.598603,32.650041
5001,Arkansas AR,-91.461405,34.405317
5003,Ashley AR,-91.871324,33.179374
5005,Baxter AR,-92.383941,36.332209
5007,Benton AR,-94.230498,36.337348
5009,Boone AR,-93.099344,36.267872
5011,Bradley AR,-92.103282,33.569321
5013,Calhoun AR,-92.495541,33.591116
5015,Carroll AR,-93.570879,36.37307
5017,Chicot AR,-91.318476,33.32186
5019,Clark AR,-93.124888,34.094705
5021,Clay AR,-90.372462,36.370696
5023,Cleburne AR,-92.037459,35.510233
5025,Cleveland AR,-92.139142,33.91499
5027,Columbia AR,-93.247441,33.258046
5029,Conway AR,-92.704123,35.214487
5031,Craighead AR,-90.669327,35.835235
5033,Crawford AR,-94.284337,35.496882
5035,Crittenden AR,-90.217283,35.17736
5037,Cross AR,-90.775305,35.252833
5039,Dallas AR,-92.527222,33.869214
5041,Desha AR,-91.417539,33.773839
5043,Drew AR,-91.78177,33.6274
5045,Faulkner AR,-92.405343,35.104919
5047,Franklin AR,-93.885399,35.446103
5049,Fulton AR,-91.764909,36.376788
5051,Garland AR,-93.081833,34.505811
5053,Grant AR,-92.412708,34.309174
5055,Greene AR,-90.523,36.07312
5057,Hempstead AR,-93.62362,33.699647
5059,Hot Spring AR,-92.894555,34.353464
5061,Howard AR,-93.910243,33.983199
5063,Independence AR,-91.607538,35.749802
5065,Izard AR,-91.908434,36.120218
5067,Jackson AR,-91.24617,35.621102
5069,Jefferson AR,-92.041187,34.233474
5071,Johnson AR,-93.475531,35.475272
5073,Lafayette AR,-93.557477,33.28763
5075,Lawrence AR,-91.065751,36.070225
5077,Lee AR,-90.774494,34.785214
5079,Lincoln AR,-91.74617,33.97538
5081,Little River AR,-94.196052,33.700518
5083,Logan AR,-93.767985,35.227533
5085,Lonoke AR,-91.970627,34.905178
5087,Madison AR,-93.755289,36.06131
5089,Marion AR,-92.663367,36.28457
5091,Miller AR,-93.987536,33.400831
5093,Mississippi AR,-89.998969,35.84288
5095,Monroe AR,-91.217999,34.777729
5097,Montgomery AR,-93.622698,34.517013
5099,Nevada AR,-93.358112,33.722168
5101,Newton AR,-93.17046,35.984941
5103,Ouachita AR,-92.838829,33.574461
5105,Perry AR,-92.779252,34.999054
5107,Phillips AR,-90.707768,34.529768
5109,Pike AR,-93.624754,34.187298
5111,Poinsett AR,-90.557993,35.601911
5113,Polk AR,-94.258459,34.52045
5115,Pope AR,-93.097238,35.309776
5117,Prairie AR,-91.536263,34.859178
5119,Pulaski AR,-92.311626,34.77372
5121,Randolph AR,-90.988408,36.304758
5123,St. Francis AR,-90.770295,35.015313
5125,Saline AR,-92.546179,34.593233
5127,Scott AR,-94.095932,34.907145
5129,Searcy AR,-92.659186,35.922829
5131,Sebastian AR,-94.354467,35.318195
5133,Sevier AR,-94.304124,34.014237
5135,Sharp AR,-91.520123,36.178493
5137,Stone AR,-92.137019,35.856705
5139,Union AR,-92.645117,33.20687
5141,Van Buren AR,-92.421492,35.56784
5143,Washington AR,-94.172183,36.094275
5145,White AR,-91.767302,35.243736
5147,Woodruff AR,-91.252102,35.233191
5149,Yell AR,-93.289376,35.120982
6001,Alameda CA,-122.100535,37.705202
6003,Alpine CA,-119.847491,38.728298
6005,Amador CA,-120.775657,38.394208
6007,Butte CA,-121.707783,39.669038
